,doctors,park,restaurant,supermarket,university,waste_basket,d_area,d_ref,d_name
0,31,32,145,22,14.0,182,0.00035923279156000463,9,Alsergrund
1,12,67,43,19,0.0,76,0.004560304399364962,13,Hietzing
2,14,20,355,21,6.0,448,0.0003470395436600135,1,Innere Stadt
3,6,20,81,12,1.0,84,0.0001319080650399889,8,Josefstadt
4,11,46,168,53,1.0,364,0.0023272081960098827,2,Leopoldstadt
5,11,19,109,18,0.0,42,0.00017618187445497997,6,Mariahilf
6,25,37,74,39,2.0,148,0.000979679013295021,12,Meidling
7,6,9,152,30,3.0,78,0.0001945367970950228,7,Neubau
8,13,94,71,36,0.0,250,0.0040863634120950594,14,Penzing
9,39,34,83,40,2.0,88,0.00047386500810998465,15,Rudolfsheim-Fünfhaus
10,43,15,53,14,4.0,170,0.0007683454735400536,18,Währing
11,41,49,165,43,1.0,180,0.0008951957742300379,3,Landstraße
12,26,26,75,26,1.0,110,0.0006918814165499652,20,Brigittenau
13,45,68,93,45,2.0,614,0.01238106502006001,22,Donaustadt
14,86,50,88,25,3.0,338,0.0030211603466999528,19,Döbling
15,40,59,118,82,1.0,442,0.0038463090596249565,10,Favoriten
16,28,72,125,52,0.0,338,0.005384367461899998,21,Floridsdorf
17,12,25,56,19,0.0,50,0.001378966967014957,17,Hernals
18,18,55,63,20,0.0,260,0.0038755003146899595,23,Liesing
19,32,26,69,26,0.0,50,0.00024330753878498785,5,Margareten
20,6,29,66,42,0.0,60,0.0010494966352749765,16,Ottakring
21,1,22,50,19,0.0,134,0.002811391844020121,11,Simmering
22,18,15,95,28,3.0,140,0.00021471401280000776,4,Wieden
